Unnamed: 0,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;","Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;.1"
Unit,$ Millions,$ Millions
Series Type,Original,Seasonally Adjusted
Data Type,FLOW,FLOW
Frequency,Month,Month
Collection Month,1,1
Series Start,1982-04-01 00:00:00,1982-04-01 00:00:00
Series End,2025-06-01 00:00:00,2025-06-01 00:00:00
No. Obs,519,519
Series ID,A3348636C,A3348639K
2021-01-01 00:00:00,3783.9,3868.6
2021-02-01 00:00:00,3440.4,3865.1
2021-03-01 00:00:00,4044.9,4007.9
2021-04-01 00:00:00,4017.5,4104.6
2021-05-01 00:00:00,4043.1,4105.8
2021-06-01 00:00:00,3696.9,3857.7
2021-07-01 00:00:00,3447.7,3400.7
2021-08-01 00:00:00,3219.9,3181
2021-09-01 00:00:00,3369.8,3340.9
2021-10-01 00:00:00,3916.1,3778
2021-11-01 00:00:00,4222.7,4096.6
2021-12-01 00:00:00,4580.5,4158.6
2022-01-01 00:00:00,3997.3,4137.5
2022-02-01 00:00:00,3995.3,4481.1
2022-03-01 00:00:00,4554.2,4539.4
2022-04-01 00:00:00,4610.4,4681.7
2022-05-01 00:00:00,4748.9,4761.7
2022-06-01 00:00:00,4672.5,4911.1
2022-07-01 00:00:00,5013,4965.5
2022-08-01 00:00:00,5079,5020.7
2022-09-01 00:00:00,5205.9,5089.7
2022-10-01 00:00:00,5268.4,5135.6
2022-11-01 00:00:00,5261.5,5151.2
2022-12-01 00:00:00,5747.8,5169.2
2023-01-01 00:00:00,5100.2,5236.6
2023-02-01 00:00:00,4680.6,5249
2023-03-01 00:00:00,5343.9,5326.5
2023-04-01 00:00:00,5157.9,5303.6
2023-05-01 00:00:00,5325.2,5351.7
2023-06-01 00:00:00,5152.1,5347.9
2023-07-01 00:00:00,5398,5408.2
2023-08-01 00:00:00,5494.3,5413.2
2023-09-01 00:00:00,5481.3,5383.4
2023-10-01 00:00:00,5551.1,5364.1
2023-11-01 00:00:00,5463.5,5371.5
2023-12-01 00:00:00,5837.4,5267.8
2024-01-01 00:00:00,5219.1,5364.8
2024-02-01 00:00:00,4981.1,5393
2024-03-01 00:00:00,5378.4,5387.3
2024-04-01 00:00:00,5325.3,5404.5
2024-05-01 00:00:00,5391.6,5401.8
2024-06-01 00:00:00,5115.3,5401.4
2024-07-01 00:00:00,5431.5,5397.9
2024-08-01 00:00:00,5554.8,5442
2024-09-01 00:00:00,5524.5,5481.8
2024-10-01 00:00:00,5666.1,5478.8
2024-11-01 00:00:00,5710.4,5556.5
2024-12-01 00:00:00,6113.6,5516.7
2025-01-01 00:00:00,5437.6,5569.3
2025-02-01 00:00:00,4966,5570.5
2025-03-01 00:00:00,5483.1,5536.7
2025-04-01 00:00:00,5490.6,5600.3
2025-05-01 00:00:00,5602.6,5606.1
2025-06-01 00:00:00,5292.4,5581.6
